ANO,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TYPE,LAT,LONG,CODE,TOTAL
2020,2,1,1,0,0,3,2,16,84,527,76,38,Amapá,1.41,-51.77,AP,750
2020,35,36,132,308,286,102,89,977,203,172,69,16,Santa Catarina,-27.33,-49.44,SC,2425
2020,10,11,6,8,11,51,34,25,131,82,10,22,Espírito Santo,-19.19,-40.34,ES,401
2020,225,64,63,38,88,491,2687,10865,10876,8052,2970,2184,Pará,-5.53,-52.29,PA,38603
2020,47,38,28,35,54,148,511,919,2772,3437,880,448,Piauí,-8.28,-43.68,PI,9317
2020,164,153,92,98,95,244,341,437,1918,3666,447,257,Bahia,-12.96,-38.51,BA,7912
2020,45,21,12,5,1,0,3,5,4,25,10,28,Alagoas,-9.71,-35.73,AL,159
2020,105,36,14,11,2,10,16,18,128,270,214,193,Pernambuco,-8.28,-35.07,PE,1017
2020,226,250,575,813,355,508,1305,2508,3097,1949,299,195,Mato Grosso do Sul,-20.51,-54.54,MS12080
2020,29,9,5,6,5,0,0,1,0,4,3,15,Sergipe,-10.9,-37.07,SE,77
2020,16,0,1,4,39,71,335,3578,3357,1652,129,11,Acre,-8.77,-70.55,AC,9193
2020,56,39,38,33,58,138,428,3087,4202,2413,509,144,Rondônia,-11.22,-62.8,RO,11145
2020,2,2,0,5,5,11,25,22,83,39,1,1,Distrito Federal,-15.83, -47.86,DF,196
2020,7,10,6,10,26,40,130,162,237,52,9,4,Rio de Janeiro,-22.84,-43.15,RJ,693
2020,75,77,111,221,446,1188,1361,1714,3977,2192,520,211,Tocantins,-10.25,-48.25,TO,12093
2020,63,16,3,1,0,4,5,50,156,248,181,183,Paraíba,-7.06,-35.55,PB,910
2020,197,73,77,12,15,122,2119,8030,4270,1265,374,175,Amazonas,-3.07,-61.66,AM,16729
2020,80,114,82,83,166,272,536,1155,3467,2404,281,97,Minas Gerais,-18.1,-44.38,MG,8737
2020,60,92,124,156,150,314,402,964,1825,1622,229,70,Goiás,-16.64,-49.31,GO,6008
2020,32,89,227,457,423,158,201,1404,263,196,110,52,Rio Grande do Sul,-30.01,-51.22,RS,3612
2020,69,103,127,252,262,262,558,1111,2254,995,115,15,São Paulo,-23.55,-46.64,SP,6123
2020,86,72,39,93,231,757,1871,2162,4403,3394,2481,1228,Maranhão,-2.55,-44.3,MA,16817
2020,37,5,3,2,0,1,7,30,106,175,143,155,Rio Grande do Norte,-5.22,-36.52,RN,664
2020,39,49,147,309,319,238,337,801,702,352,186,40,Paraná,-24.89,-51.55,PR,3519
2020,94,8,2,0,3,12,63,209,440,913,1279,956,Ceará,-3.71,-38.54,CE,3979
2020,297,483,695,165,11,4,9,14,62,113,19,58,Roraima,1.89,-61.22,RR,1930
2020,768,806,1270,992,951,1960,2429,10430,20312,5259,1919,612,Mato Grosso,-12.64,-55.42,MT,47708
